t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
4.18,0.479896,-0.024141,-1.17684,0.680355,-0.49417,-0.0168121,0.896236,-0.800212
4.2,0.480061,-0.024109,-1.17108,0.692536,-0.498102,-0.0168525,0.896226,-0.803464
4.22001,0.480591,-0.024109,-1.16482,0.704517,-0.502849,-0.0168525,0.896225,-0.805571
4.24,0.482198,-0.0241236,-1.16134,0.714313,-0.507454,-0.0167352,0.896209,-0.80609
4.26,0.484841,-0.0241547,-1.15871,0.722542,-0.511986,-0.0166769,0.896166,-0.80609
4.27999,0.4886,-0.0241236,-1.15664,0.728065,-0.516627,-0.0166769,0.896166,-0.805983
4.3,0.492366,-0.0241564,-1.15446,0.732016,-0.521174,-0.0166601,0.896166,-0.805925
4.32,0.495443,-0.0241241,-1.15399,0.734596,-0.525224,-0.0166839,0.89615,-0.805925
4.33999,0.498315,-0.0241241,-1.15375,0.735989,-0.528343,-0.0166513,0.89615,-0.805884
4.36,0.500955,-0.0241233,-1.15234,0.736729,-0.531635,-0.0166513,0.89615,-0.805551
4.38,0.50413,-0.0241157,-1.15217,0.736765,-0.534689,-0.0166375,0.896141,-0.805499
4.40002,0.507712,-0.0241233,-1.15216,0.736994,-0.537409,-0.0166375,0.896101,-0.805499
4.42,0.511032,-0.0241151,-1.15216,0.737902,-0.539806,-0.0166375,0.89609,-0.805504
4.43999,0.513568,-0.0241105,-1.15214,0.739328,-0.5417,-0.0166156,0.89609,-0.805564
4.45999,0.515913,-0.0241105,-1.15202,0.739757,-0.542239,-0.0166012,0.89609,-0.805613
4.48,0.517789,-0.024126,-1.15167,0.739848,-0.542604,-0.0166012,0.896045,-0.805613
4.5,0.51898,-0.0241283,-1.14994,0.740191,-0.542604,-0.0166071,0.896024,-0.80558
4.52001,0.519915,-0.0241283,-1.14854,0.740191,-0.542546,-0.0166085,0.896034,-0.805402
4.54,0.520668,-0.024165,-1.14735,0.740186,-0.542535,-0.0166306,0.896013,-0.805023
4.56001,0.521237,-0.0241336,-1.14706,0.740186,-0.542506,-0.0166306,0.896034,-0.804816
4.57999,0.521433,-0.0241468,-1.14705,0.740186,-0.542501,-0.0166306,0.896046,-0.804803
4.59999,0.521433,-0.0241336,-1.14705,0.740195,-0.542501,-0.0166147,0.896046,-0.804767
4.62,0.521412,-0.0241468,-1.14705,0.74014,-0.542536,-0.016601,0.896003,-0.804798
4.64,0.521412,-0.024128,-1.14707,0.740128,-0.542548,-0.0165866,0.896003,-0.804798
4.66001,0.521407,-0.0241223,-1.14708,0.740089,-0.542553,-0.0165866,0.896019,-0.804826
4.68,0.52143,-0.0241114,-1.14707,0.740089,-0.542566,-0.0165978,0.896019,-0.80488
